Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,InpRiskPercent,InpSL_ATR_Mult,InpTP_ATR_Mult,InpTrailStartMult,InpTrailStepMult,InpBreakEvenMult,InpFastEMA,InpSlowEMA,InpRSIPeriod,InpRSILow,InpRSIHigh,InpATRPeriodSlow,InpCooldownBars,InpMaxSpreadPoints,InpMaxSlippagePoints,InpStartHour,InpEndHour
3305,211.58,134.07,33.517500,2.821356,1.140924,0.558314,211.58052650107902,1.1746,4,0.75,2.25,3.00,1.25,1.45,1.0,12,260,12,50,59,75,8,14,10,23,13
2895,211.26,109.64,5.220952,2.464992,1.799147,6.845268,211.26390071537239,0.6025,21,0.25,2.25,1.75,1.00,0.25,0.9,14,180,8,46,51,35,5,40,4,18,19
3116,211.12,116.84,19.473333,2.533736,0.816892,0.926511,211.12354503588756,1.4247,6,0.75,1.50,1.50,0.50,0.25,0.9,14,180,12,50,59,75,8,14,10,23,13
6635,210.43,1286.58,67.714737,2.856108,1.819208,7.280187,210.42903925224132,6.3391,19,2.00,2.75,3.00,1.75,1.15,1.2,30,160,15,50,57,35,8,36,8,18,15
4440,210.37,219.25,43.850000,2.629869,1.088521,0.922062,210.36849630529068,1.9447,5,1.25,3.00,3.75,1.00,1.45,1.3,22,320,8,43,57,30,6,22,2,2,10
5507,210.22,289.35,36.168750,2.402705,0.896542,1.785303,210.21567127754938,3.1672,8,2.00,3.00,2.00,0.75,0.65,0.8,22,260,12,50,59,60,8,40,6,22,15
3289,210.19,115.72,16.531429,2.942915,1.378604,0.614429,210.18717470093151,0.8230,7,0.50,2.25,3.00,1.00,1.55,1.9,22,220,12,49,59,70,1,18,9,17,19
5160,210.19,115.72,16.531429,2.942915,1.378604,0.614429,210.18717470093151,0.8230,7,0.50,2.25,3.00,1.00,1.55,1.9,22,320,12,49,59,70,1,18,9,17,21
1878,210.04,613.55,61.355000,2.625729,1.224357,1.599419,210.0372898587195,4.6104,10,1.75,2.25,4.75,2.25,1.45,1.6,18,320,8,46,62,40,7,34,6,3,23
2988,209.40,263.72,20.286154,2.722422,1.788296,3.124426,209.39612102303684,1.4560,13,0.50,2.25,4.50,3.00,0.25,1.7,28,300,15,49,56,70,3,18,10,22,16
